Feature,Coefficient,Abs_Coefficient
income,-1.766721371994768,1.766721371994768
credit_score,-1.257378277597013,1.257378277597013
loan_amount,0.6557387984812131,0.6557387984812131
debt_to_income,0.5636031389852618,0.5636031389852618
loan_term,0.4164109754650414,0.4164109754650414
income_high,-0.03602325216518365,0.03602325216518365
credit_poor,-0.03025945259896135,0.03025945259896135
credit_excellent,0.025988339712896685,0.025988339712896685
dti_x_term,0.023329310424307415,0.023329310424307415
income_low,0.021041267148245446,0.021041267148245446
employment_length,0.014428535749124168,0.014428535749124168
num_credit_lines,-0.013694378246643761,0.013694378246643761
loan_to_income,-0.012087104482606359,0.012087104482606359
home_rent,-0.009346180032832378,0.009346180032832378
home_own,0.006818543275662848,0.006818543275662848
income_medium,0.006274822558121673,0.006274822558121673
credit_fair,0.0057878607042090215,0.0057878607042090215
credit_good,-0.0052014262283140295,0.0052014262283140295
age,0.00374957189305556,0.00374957189305556
home_mortgage,0.003729951348718088,0.003729951348718088
annual_inc,-0.0024566519038017065,0.0024566519038017065
credit_x_loan,-0.0006516582410745486,0.0006516582410745486
